product_name,rating,title,location_and_date,options,verified_purchase,text,helpful_count
Nintendo Switch Lite - Turquoise,5.0,Great for casual gaming,"Reviewed in the United States on February 21, 2023",Color: Coral | Style: Lite Console,True,"I bought a switch lite for my mom to play Animal Crossing on, and it's holding well. My mom loves it!",
Nintendo Switch Lite - Turquoise,5.0,Very nice gift to child child was very happy,"Reviewed in the United States on March 4, 2023",Color: Turquoise | Style: Lite Console,True,Very very doable and very easy to use,
Nintendo Switch Lite - Turquoise,5.0,Perfect for gamers,"Reviewed in the United States on February 5, 2023",Color: Turquoise | Style: Lite Console,True,"My wife doesn’t usually play video games, but she loves a few games on the switch. Got her this for her birthday and she loves it. Carries it with her everywhere. Only complaint is that there is no vibration like the normal switch.",
Nintendo Switch Lite - Turquoise,5.0,Great gift,"Reviewed in the United States on March 3, 2023",Color: Turquoise | Style: Lite Console,True,Grandson hasn't stop playing with it since Christmas.,
Nintendo Switch Lite - Turquoise,5.0,my granddaughter christmas presents,"Reviewed in the United States on February 18, 2023",Color: Turquoise | Style: Lite Console,True,i love the color my granddaughter was a very happy young lady for christmas i was so excited to get this for her,
Nintendo Switch Lite - Turquoise,5.0,Christmas gift,"Reviewed in the United States on March 4, 2023",Color: Blue | Style: Lite Console,True,My grandson loves it,
Nintendo Switch Lite - Turquoise,5.0,it’s awesome!,"Reviewed in the United States on February 27, 2023",Color: Blue | Style: Lite Console,True,"super cool console, great library, no complaints",
Nintendo Switch Lite - Turquoise,5.0,Excellent buy no issues,"Reviewed in the United States on March 1, 2023",Color: Coral | Style: Lite Console,True,Excellent buy no issues,
Nintendo Switch Lite - Turquoise,5.0,Son loves to play,"Reviewed in the United States on February 13, 2023",Color: Turquoise | Style: Lite Console,True,"Nothing do dislike about this. It does what it should, and my 16 y-o wanted it for awhile. He is very happy with it.",
Nintendo Switch Lite - Turquoise,5.0,Nintendo switch lite,"Reviewed in the United States on February 26, 2023",Color: Turquoise | Style: Lite Console,True,"Es Nintendo, recomendado... XD",
Nintendo Switch Lite - Turquoise,5.0,My youngest loved this gift,"Reviewed in the United States on February 16, 2023",Color: Coral | Style: Lite Console,True,Got it for my youngest for Christmas and she loves it. Excellent condition. Works great. Perfect for a little gamer.,
Nintendo Switch Lite - Turquoise,5.0,Sort of fun,"Reviewed in the United States on February 16, 2023",Color: Turquoise | Style: Lite Console,True,It is decently fun and portable but I havent used it in around a year.,
Nintendo Switch Lite - Turquoise,5.0,Love it,"Reviewed in the United States on February 22, 2023",Color: Coral | Style: Lite Console,True,This is so fun to play,
Nintendo Switch Lite - Turquoise,5.0,Awesome System!!,"Reviewed in the United States on February 9, 2023",Color: Coral | Style: Lite Console,True,I have nothing negative at all to say about Nintendo's Switch Lites. We have 2 and we love them. Period.,One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,Very fun!,"Reviewed in the United States on February 13, 2023",Color: Blue | Style: Lite Console,True,Fun to use and good value compared to the regular switch.,
Nintendo Switch Lite - Turquoise,5.0,Great switch!!,"Reviewed in the United States on January 24, 2023",Color: Blue | Style: Lite Console,True,I personally really enjoy the smaller console compared to the normal one and the OLED. I think is a great more affordable option especially if you enjoy playing on the go and don’t really play on the tv or monitor.,One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,great service,"Reviewed in the United States on February 4, 2023",Color: Blue | Style: Lite Console,True,"Came in excellent condition and courier was polite, but professional.  However, users be prepared to charge the battery before use.",
Nintendo Switch Lite - Turquoise,5.0,Was expecting the North American model got a Japanese one instead,"Reviewed in the United States on February 4, 2023",Color: Coral | Style: Lite Console,True,Luckily the switch is region free so it doesn't matter just be aware if you live in Europe or the US,
Nintendo Switch Lite - Turquoise,4.0,Delivery was later than it said it would be originally,"Reviewed in the United States on January 23, 2023",Color: Coral | Style: Lite Console,True,The delivery just came a little late. Other than that perfect for a good price,
Nintendo Switch Lite - Turquoise,4.0,"everything works wonderfully, but not packaged in the best way","Reviewed in the United States on October 30, 2022",Color: Blue | Style: Lite Console,True,"I really enjoyed this product. The controls make the game relatively easy to play, the console's design is sleek and easy to hold, and the Nintendo store gives you access to free games even if you don't get an external game. I was able to get both Dauntless and Overwatch 2 on the console for no extra charge. The only thing I'm not crazy about is the packaging. I had it will some other things I had purchased, and there was no cushion around the console. Given how the screen is glass, I was not hopeful about opening the switch box, but it pulled through. So besides the packaging, This is a fantastic product and I look forward to getting more games for my switch!",4 people found this helpful
Nintendo Switch Lite - Turquoise,5.0,My first Nintendo Switch lite,"Reviewed in the United States on February 1, 2023",Color: Turquoise | Style: Lite Console,True,"I am so happy with my Nintendo Switch lite,  even though it is used. It's in great condition. Thank you",
Nintendo Switch Lite - Turquoise,5.0,Love it,"Reviewed in the United States on January 28, 2023",Color: Coral | Style: Lite Console,True,My daughter loves this. She takes it with us when we leave our home. It keeps her very entertained while we are in the car.,
Nintendo Switch Lite - Turquoise,5.0,Awesome product!,"Reviewed in the United States on January 30, 2023",Color: Blue | Style: Lite Console,True,Bought this to play some old school games but didn’t want to pay 300-350 for the larger model. Great for on the go!,One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,Get Gift for the Mrs.,"Reviewed in the United States on January 21, 2023",Color: Turquoise | Style: Lite Console,True,I bought this for my wonderfull wife. The two of us have been using the two Switch to play games together. This version is so much less expensive and yet has all the wonderfull features.,
Nintendo Switch Lite - Turquoise,5.0,Great purchase,"Reviewed in the United States on January 22, 2023",Color: Blue | Style: Lite Console,True,"Ordered a new blue switch lite. Received a new blue switch lite 2 days later. Couldn't be happier with my switch I was hesitant about the screen size, but after playing it the screen size isn't an issue.",One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,Good quality,"Reviewed in the United States on January 29, 2023",Color: Coral | Style: Lite Console,True,My son liked this app that he can choose to get details of items and choose options available for delivery.,One person found this helpful
Nintendo Switch Lite - Turquoise,5.0,Good condition,"Reviewed in the United States on December 30, 2022",Color: Turquoise | Style: Lite Console,True,The product was in good working order and clean. Packaged well for delivery. I wish it would have come with the instruction booklet as I am new to the whole Nintendo switch experience. Ordered instruction booklet  off eBay for it.Was playing Star Wars Lego blind to controls and what they were doing. Got the hang of a few things. The game worked just fine though.,2 people found this helpful
